goos: windows
goarch: amd64
pkg: github.com/gabrielxsuarez/go-firebird-driver/wire
cpu: Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz
BenchmarkStackWriterInt64-8                 	18545133	        63.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	18499960	        64.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	17505776	        64.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	17263006	        63.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	19459196	        64.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	18698374	        58.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	19236502	        63.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	19207682	        64.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	19661236	        63.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkStackWriterInt64-8                 	19290464	        64.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkDecodeRow_5Cols-8                  	 1251853	       945.2 ns/op	      72 B/op	       5 allocs/op
BenchmarkDecodeRow_5Cols-8                  	 1296547	       947.6 ns/op	      72 B/op	       5 allocs/op
BenchmarkDecodeRow_5Cols-8                  	 1313595	       994.1 ns/op	      72 B/op	       5 allocs/op
BenchmarkDecodeRow_5Cols-8                  	 1269480	       927.8 ns/op	      72 B/op	       5 allocs/op
BenchmarkDecodeRow_5Cols-8                  	 1294515	       916.9 ns/op	      72 B/op	       5 allocs/op
BenchmarkDecodeRow_5Cols-8                  	 1263087	       928.1 ns/op	      72 B/op	       5 allocs/op
BenchmarkDecodeRow_5Cols-8                  	 1328684	       939.2 ns/op	      72 B/op	       5 allocs/op
BenchmarkDecodeRow_5Cols-8                  	 1305787	       944.6 ns/op	      72 B/op	       5 allocs/op
BenchmarkDecodeRow_5Cols-8                  	 1306447	       922.8 ns/op	      72 B/op	       5 allocs/op
BenchmarkDecodeRow_5Cols-8                  	 1298697	       925.8 ns/op	      72 B/op	       5 allocs/op
BenchmarkDecodeRow_5Cols_2Nulls-8           	 4784638	       236.9 ns/op	      16 B/op	       2 allocs/op
BenchmarkDecodeRow_5Cols_2Nulls-8           	 5012493	       238.8 ns/op	      16 B/op	       2 allocs/op
BenchmarkDecodeRow_5Cols_2Nulls-8           	 4944937	       242.1 ns/op	      16 B/op	       2 allocs/op
BenchmarkDecodeRow_5Cols_2Nulls-8           	 4958871	       238.7 ns/op	      16 B/op	       2 allocs/op
